"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F0.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1"
2001,"Month","Fleet",1,0,"Enter",37,37,26,0,9.09090909090909,77.2727272727273,13.6363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09090909090909,77.2727272727273,13.6363636363636,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",39,39,19,0,13.3333333333333,80,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333333,80,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",41,41,22,0,13.0434782608696,60.8695652173913,26.0869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0434782608696,60.8695652173913,26.0869565217391,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",43,43,15,0,0,57.6923076923077,42.3076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6923076923077,42.3076923076923,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",45,45,6,0,0,31.5789473684211,68.4210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5789473684211,68.4210526315789,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",47,47,3,0,0,27.2727272727273,72.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2727272727273,72.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",49,49,2,0,0,20,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,20,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",51,51,6,0,0,16.6666666666667,66.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,66.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",53,53,3,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",55,55,3,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",57,57,2,0,0,0,16.6666666666667,66.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,66.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",59,59,5,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",61,61,3,0,0,0,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",63,63,3,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",65,65,6,0,0,0,0,20,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,40,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",67,67,4,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",69,69,5,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",71,71,4,0,0,0,0,16.6666666666667,50,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,50,33.3333333333333,0,0,0,0,0,0,0,0,0
